No. moves  % accept.        E_tot           E_sr
     318    45.6412        -7056.815       -7056.815
     320    45.6640        -7078.136       -7078.136
     322    45.6847        -7065.956       -7065.956
     324    45.7080        -7087.080       -7087.080
     326    45.7350        -7067.865       -7067.865
     328    45.7590        -7071.293       -7071.293
     330    45.7859        -7054.955       -7054.955
     332    45.8076        -7045.965       -7045.965
     334    45.8332        -7073.810       -7073.810
     336    45.8567        -7077.046       -7077.046
     338    45.8808        -7041.353       -7041.353
     340    45.9042        -7069.620       -7069.620
     342    45.9276        -7052.160       -7052.160
     344    45.9514        -7063.326       -7063.326
     346    45.9740        -7042.104       -7042.104
     348    45.9989        -7046.262       -7046.262
     350    46.0198        -7058.988       -7058.988
     352    46.0466        -7043.516       -7043.516
     354    46.0699        -7064.369       -7064.369
     356    46.0928        -7034.946       -7034.946
     358    46.1157        -7078.236       -7078.236
     360    46.1392        -7066.133       -7066.133
     362    46.1601        -7065.599       -7065.599
     364    46.1798        -7091.728       -7091.728
     366    46.2027        -7064.897       -7064.897
     368    46.2174        -7091.916       -7091.916
     370    46.2339        -7085.680       -7085.680
     372    46.2492        -7092.588       -7092.588
     374    46.2705        -7106.709       -7106.709
     376    46.2854        -7107.052       -7107.052
     378    46.3028        -7093.460       -7093.460
     380    46.3203        -7087.098       -7087.098
     382    46.3324        -7091.535       -7091.535
     384    46.3535        -7089.611       -7089.611
     386    46.3707        -7062.361       -7062.361
     388    46.3850        -7068.951       -7068.951
     390    46.4028        -7077.349       -7077.349
     392    46.4196        -7074.610       -7074.610
     394    46.4360        -7073.996       -7073.996
     396    46.4501        -7091.857       -7091.857
     398    46.4674        -7077.336       -7077.336
     400    46.4840        -7092.320       -7092.320
     402    46.4985        -7071.303       -7071.303
     404    46.5160        -7080.031       -7080.031
     406    46.5292        -7061.156       -7061.156
     408    46.5459        -7078.236       -7078.236
     410    46.5613        -7056.359       -7056.359
     412    46.5777        -7049.377       -7049.377
     414    46.5917        -7039.968       -7039.968
     416    46.6082        -7052.301       -7052.301
     418    46.6262        -7053.488       -7053.488
     420    46.6408        -7069.104       -7069.104
     422    46.6560        -7067.941       -7067.941
     424    46.6741        -7050.459       -7050.459
     426    46.6919        -7066.103       -7066.103
     428    46.7097        -7053.357       -7053.357
     430    46.7206        -7066.807       -7066.807
     432    46.7297        -7051.157       -7051.157
     434    46.7446        -7046.451       -7046.451
     436    46.7592        -7055.616       -7055.616
     438    46.7724        -7074.541       -7074.541
     440    46.7865        -7072.487       -7072.487
     442    46.7985        -7043.748       -7043.748
     444    46.8097        -7055.373       -7055.373
     446    46.8217        -7033.003       -7033.003
     448    46.8371        -7043.324       -7043.324
     450    46.8486        -7044.790       -7044.790
     452    46.8577        -7020.054       -7020.054
     454    46.8686        -7004.805       -7004.805
     456    46.8789        -7003.477       -7003.477
     458    46.8936        -6995.993       -6995.993
     460    46.9092        -7035.103       -7035.103
     462    46.9215        -7030.287       -7030.287
     464    46.9345        -7019.687       -7019.687
     466    46.9496        -7011.933       -7011.933
     468    46.9616        -7065.355       -7065.355
     470    46.9720        -7047.246       -7047.246
     472    46.9790        -7045.348       -7045.348
     474    46.9908        -7039.830       -7039.830
     476    47.0059        -7011.114       -7011.114
     478    47.0195        -7039.530       -7039.530
     480    47.0291        -7016.575       -7016.575
     482    47.0422        -7034.815       -7034.815
     484    47.0505        -7038.160       -7038.160
     486    47.0625        -7006.543       -7006.543
     488    47.0742        -7018.723       -7018.723
     490    47.0879        -7028.690       -7028.690
     492    47.1002        -7036.504       -7036.504
     494    47.1115        -7000.617       -7000.617
     496    47.1205        -7004.504       -7004.504
     498    47.1342        -7003.676       -7003.676
     500    47.1476        -7040.480       -7040.480
     502    47.1574        -7039.685       -7039.685
     504    47.1675        -7034.905       -7034.905
     506    47.1754        -7049.322       -7049.322
     508    47.1832        -7010.209       -7010.209
     510    47.1960        -7024.173       -7024.173
     512    47.2039        -7041.019       -7041.019
     514    47.2136        -7036.139       -7036.139
     516    47.2223        -7033.679       -7033.679
     518    47.2349        -7026.368       -7026.368
     520    47.2481        -7030.399       -7030.399
     522    47.2580        -7014.738       -7014.738
     524    47.2681        -6987.946       -6987.946
     526    47.2816        -7000.500       -7000.500
     528    47.2908        -6976.320       -6976.320
     530    47.3024        -7004.530       -7004.530
     532    47.3128        -7024.066       -7024.066
     534    47.3213        -7035.676       -7035.676
     536    47.3297        -7050.024       -7050.024
     538    47.3370        -7048.153       -7048.153
     540    47.3437        -7054.411       -7054.411
     542    47.3536        -7044.874       -7044.874
     544    47.3661        -7054.218       -7054.218
     546    47.3717        -7046.047       -7046.047
     548    47.3796        -7066.249       -7066.249
     550    47.3905        -7056.946       -7056.946
     552    47.4000        -7060.678       -7060.678
     554    47.4073        -7039.123       -7039.123
     556    47.4146        -7011.014       -7011.014
     558    47.4230        -7025.576       -7025.576
     560    47.4323        -7031.833       -7031.833
     562    47.4386        -7064.176       -7064.176
     564    47.4480        -7063.364       -7063.364
     566    47.4574        -7067.751       -7067.751
     568    47.4646        -7062.375       -7062.375
     570    47.4676        -7079.793       -7079.793
     572    47.4764        -7071.894       -7071.894
     574    47.4842        -7052.610       -7052.610
     576    47.4930        -7047.529       -7047.529
     578    47.5008        -7021.201       -7021.201
     580    47.5095        -7033.967       -7033.967
     582    47.5165        -7059.719       -7059.719
     584    47.5227        -7061.625       -7061.625
     586    47.5286        -7021.552       -7021.552
     588    47.5379        -7034.553       -7034.553
     590    47.5452        -7007.931       -7007.931
     592    47.5534        -7007.926       -7007.926
     594    47.5632        -7018.883       -7018.883
     596    47.5705        -7029.680       -7029.680
     598    47.5817        -7031.051       -7031.051
     600    47.5926        -7036.899       -7036.899
     602    47.5962        -7018.941       -7018.941
     604    47.6044        -7006.180       -7006.180
     606    47.6144        -7006.510       -7006.510
     608    47.6197        -7017.337       -7017.337
     610    47.6243        -7000.928       -7000.928
     612    47.6323        -7016.997       -7016.997
     614    47.6400        -6981.745       -6981.745
     616    47.6479        -7029.120       -7029.120
     618    47.6566        -7022.661       -7022.661
     620    47.6630        -7024.139       -7024.139
     622    47.6669        -7023.776       -7023.776
     624    47.6736        -7017.269       -7017.269
     626    47.6800        -7007.772       -7007.772
     628    47.6856        -7009.512       -7009.512
     630    47.6929        -6996.054       -6996.054
     632    47.6985        -7006.345       -7006.345
     634    47.7035        -7006.042       -7006.042
     636    47.7081        -7009.487       -7009.487
     638    47.7154        -6972.397       -6972.397
     640    47.7216        -6998.293       -6998.293
     642    47.7275        -6996.453       -6996.453
     644    47.7338        -7017.954       -7017.954
     646    47.7387        -7045.945       -7045.945
     648    47.7456        -7008.408       -7008.408
     650    47.7504        -7012.832       -7012.832
     652    47.7550        -7021.459       -7021.459
     654    47.7633        -7007.868       -7007.868
     656    47.7691        -7016.470       -7016.470
     658    47.7746        -7015.262       -7015.262
     660    47.7812        -7001.102       -7001.102
     662    47.7886        -7002.005       -7002.005
     664    47.7949        -7011.638       -7011.638
     666    47.8004        -7040.508       -7040.508
     668    47.8069        -6999.734       -6999.734
     670    47.8119        -7025.767       -7025.767
     672    47.8178        -7014.749       -7014.749
     674    47.8264        -7004.807       -7004.807
     676    47.8326        -7009.870       -7009.870
     678    47.8393        -7031.332       -7031.332
     680    47.8415        -7031.625       -7031.625
     682    47.8471        -7054.077       -7054.077
     684    47.8515        -7018.474       -7018.474
     686    47.8578        -7058.837       -7058.837
     688    47.8628        -7064.068       -7064.068
     690    47.8663        -7041.597       -7041.597
     692    47.8720        -7057.817       -7057.817
     694    47.8759        -7058.088       -7058.088
     696    47.8808        -7039.791       -7039.791
     698    47.8864        -7028.375       -7028.375
     700    47.8909        -7047.967       -7047.967
     702    47.8930        -7028.455       -7028.455
     704    47.8967        -7021.003       -7021.003
     706    47.9021        -6990.634       -6990.634
     708    47.9058        -7032.253       -7032.253
     710    47.9083        -7028.849       -7028.849
     712    47.9132        -7025.433       -7025.433
     714    47.9196        -7033.156       -7033.156
     716    47.9213        -7050.349       -7050.349
     718    47.9266        -7023.565       -7023.565
     720    47.9330        -6994.551       -6994.551
     722    47.9358        -6996.850       -6996.850
     724    47.9396        -7020.142       -7020.142
     726    47.9429        -7019.551       -7019.551
     728    47.9488        -6991.779       -6991.779
     730    47.9531        -7004.428       -7004.428
     732    47.9589        -7008.410       -7008.410
     734    47.9664        -6987.408       -6987.408
     736    47.9743        -6979.435       -6979.435
     738    47.9782        -6992.452       -6992.452
     740    47.9837        -6995.012       -6995.012
     742    47.9893        -7015.343       -7015.343
     744    47.9935        -7001.362       -7001.362
     746    47.9996        -7009.305       -7009.305
     748    48.0072        -7045.580       -7045.580
     750    48.0108        -7052.016       -7052.016
     752    48.0159        -7035.985       -7035.985
     754    48.0188        -7043.685       -7043.685
     756    48.0252        -7029.210       -7029.210
     758    48.0312        -7021.862       -7021.862
     760    48.0369        -7029.539       -7029.539
     762    48.0413        -7017.021       -7017.021
     764    48.0462        -7026.648       -7026.648
     766    48.0500        -7028.561       -7028.561
     768    48.0553        -7029.616       -7029.616
     770    48.0580        -7054.098       -7054.098
     772    48.0647        -7027.638       -7027.638
     774    48.0678        -7052.802       -7052.802
     776    48.0711        -7024.337       -7024.337
     778    48.0748        -7024.913       -7024.913
     780    48.0798        -7015.241       -7015.241
     782    48.0828        -7014.235       -7014.235
     784    48.0857        -7013.299       -7013.299
     786    48.0906        -7031.756       -7031.756
     788    48.0939        -7026.741       -7026.741
     790    48.0971        -7064.488       -7064.488
     792    48.0992        -7064.998       -7064.998
     794    48.1014        -7052.000       -7052.000
     796    48.1064        -7034.270       -7034.270
     798    48.1103        -7051.193       -7051.193
     800    48.1134        -7049.360       -7049.360
     802    48.1183        -7031.603       -7031.603
     804    48.1219        -7030.061       -7030.061
     806    48.1211        -7040.750       -7040.750
     808    48.1235        -7048.567       -7048.567
     810    48.1285        -7069.354       -7069.354
     812    48.1329        -7019.130       -7019.130
     814    48.1363        -7015.977       -7015.977
     816    48.1387        -7017.620       -7017.620
     818    48.1418        -7048.012       -7048.012
     820    48.1445        -7077.912       -7077.912
     822    48.1483        -7068.061       -7068.061
     824    48.1531        -7084.839       -7084.839
     826    48.1560        -7077.339       -7077.339
     828    48.1589        -7037.007       -7037.007
     830    48.1637        -7026.562       -7026.562
     832    48.1679        -7001.361       -7001.361
     834    48.1713        -7008.946       -7008.946
     836    48.1753        -6998.009       -6998.009
     838    48.1787        -7008.094       -7008.094
     840    48.1814        -6990.378       -6990.378
     842    48.1873        -6984.693       -6984.693
     844    48.1898        -6987.828       -6987.828
     846    48.1931        -6985.192       -6985.192
     848    48.1975        -6991.635       -6991.635
     850    48.2028        -6996.770       -6996.770
     852    48.2065        -6997.226       -6997.226
     854    48.2113        -7022.015       -7022.015
     856    48.2153        -7010.613       -7010.613
     858    48.2185        -7014.470       -7014.470
     860    48.2203        -7013.367       -7013.367
     862    48.2233        -7035.839       -7035.839
     864    48.2258        -7028.309       -7028.309
     866    48.2295        -6990.626       -6990.626
     868    48.2317        -7010.167       -7010.167
     870    48.2345        -7000.964       -7000.964
     872    48.2378        -6996.576       -6996.576
     874    48.2417        -6997.437       -6997.437
     876    48.2457        -7012.197       -7012.197
     878    48.2509        -7005.564       -7005.564
