No. moves  % accept.       <E_tot>         <E_sr>
     10302    49.6667        -7027.205       -7027.205
     10304    49.6666        -7027.011       -7027.011
     10306    49.6667        -7026.742       -7026.742
     10308    49.6667        -7026.391       -7026.391
     10310    49.6669        -7026.140       -7026.140
     10312    49.6668        -7025.929       -7025.929
     10314    49.6669        -7025.653       -7025.653
     10316    49.6670        -7025.579       -7025.579
     10318    49.6672        -7025.252       -7025.252
     10320    49.6674        -7025.015       -7025.015
     10322    49.6677        -7024.922       -7024.922
     10324    49.6676        -7024.828       -7024.828
     10326    49.6678        -7024.709       -7024.709
     10328    49.6680        -7024.661       -7024.661
     10330    49.6680        -7024.468       -7024.468
     10332    49.6680        -7024.263       -7024.263
     10334    49.6680        -7024.221       -7024.221
     10336    49.6679        -7024.141       -7024.141
     10338    49.6678        -7024.118       -7024.118
     10340    49.6678        -7023.971       -7023.971
     10342    49.6678        -7023.954       -7023.954
     10344    49.6679        -7023.848       -7023.848
     10346    49.6680        -7023.634       -7023.634
     10348    49.6681        -7023.405       -7023.405
     10350    49.6683        -7023.078       -7023.078
     10352    49.6685        -7022.797       -7022.797
     10354    49.6687        -7022.611       -7022.611
     10356    49.6686        -7022.303       -7022.303
     10358    49.6687        -7022.082       -7022.082
     10360    49.6689        -7021.830       -7021.830
     10362    49.6688        -7021.584       -7021.584
     10364    49.6688        -7021.368       -7021.368
     10366    49.6688        -7021.169       -7021.169
     10368    49.6690        -7021.023       -7021.023
     10370    49.6692        -7020.957       -7020.957
     10372    49.6693        -7020.813       -7020.813
     10374    49.6695        -7020.575       -7020.575
     10376    49.6695        -7020.261       -7020.261
     10378    49.6698        -7019.883       -7019.883
     10380    49.6699        -7019.752       -7019.752
     10382    49.6700        -7019.649       -7019.649
     10384    49.6701        -7019.390       -7019.390
     10386    49.6702        -7019.225       -7019.225
     10388    49.6699        -7019.123       -7019.123
     10390    49.6697        -7018.982       -7018.982
     10392    49.6696        -7018.852       -7018.852
     10394    49.6695        -7018.733       -7018.733
     10396    49.6696        -7018.699       -7018.699
     10398    49.6696        -7018.610       -7018.610
     10400    49.6697        -7018.453       -7018.453
     10402    49.6699        -7018.389       -7018.389
     10404    49.6700        -7018.276       -7018.276
     10406    49.6702        -7018.217       -7018.217
     10408    49.6704        -7018.174       -7018.174
     10410    49.6704        -7018.155       -7018.155
     10412    49.6704        -7018.271       -7018.271
     10414    49.6704        -7018.258       -7018.258
     10416    49.6705        -7018.322       -7018.322
     10418    49.6707        -7018.321       -7018.321
     10420    49.6708        -7018.111       -7018.111
     10422    49.6706        -7017.892       -7017.892
     10424    49.6704        -7017.809       -7017.809
     10426    49.6706        -7017.613       -7017.613
     10428    49.6706        -7017.479       -7017.479
     10430    49.6707        -7017.307       -7017.307
     10432    49.6707        -7017.199       -7017.199
     10434    49.6705        -7017.111       -7017.111
     10436    49.6706        -7017.006       -7017.006
     10438    49.6707        -7017.031       -7017.031
     10440    49.6709        -7017.010       -7017.010
     10442    49.6709        -7017.061       -7017.061
     10444    49.6708        -7017.116       -7017.116
     10446    49.6710        -7017.116       -7017.116
     10448    49.6709        -7017.035       -7017.035
     10450    49.6709        -7016.964       -7016.964
     10452    49.6709        -7016.919       -7016.919
     10454    49.6710        -7017.001       -7017.001
     10456    49.6708        -7016.975       -7016.975
     10458    49.6708        -7016.974       -7016.974
     10460    49.6708        -7016.982       -7016.982
     10462    49.6707        -7017.008       -7017.008
     10464    49.6706        -7017.019       -7017.019
     10466    49.6706        -7016.944       -7016.944
     10468    49.6705        -7016.884       -7016.884
     10470    49.6704        -7016.744       -7016.744
     10472    49.6704        -7016.727       -7016.727
     10474    49.6703        -7016.731       -7016.731
     10476    49.6703        -7016.644       -7016.644
     10478    49.6703        -7016.552       -7016.552
     10480    49.6703        -7016.347       -7016.347
     10482    49.6706        -7016.153       -7016.153
     10484    49.6706        -7016.044       -7016.044
     10486    49.6706        -7015.995       -7015.995
     10488    49.6706        -7015.850       -7015.850
     10490    49.6708        -7015.799       -7015.799
     10492    49.6708        -7015.932       -7015.932
     10494    49.6707        -7016.069       -7016.069
     10496    49.6707        -7016.192       -7016.192
     10498    49.6707        -7016.360       -7016.360
     10500    49.6707        -7016.398       -7016.398
     10502    49.6709        -7016.476       -7016.476
     10504    49.6710        -7016.593       -7016.593
     10506    49.6713        -7016.601       -7016.601
     10508    49.6713        -7016.633       -7016.633
     10510    49.6714        -7016.620       -7016.620
     10512    49.6715        -7016.641       -7016.641
     10514    49.6715        -7016.733       -7016.733
     10516    49.6714        -7016.828       -7016.828
     10518    49.6714        -7016.956       -7016.956
     10520    49.6715        -7017.030       -7017.030
     10522    49.6714        -7016.977       -7016.977
     10524    49.6716        -7016.932       -7016.932
     10526    49.6716        -7016.968       -7016.968
     10528    49.6716        -7016.955       -7016.955
     10530    49.6713        -7016.907       -7016.907
     10532    49.6712        -7016.899       -7016.899
     10534    49.6712        -7016.976       -7016.976
     10536    49.6712        -7017.065       -7017.065
     10538    49.6712        -7017.185       -7017.185
     10540    49.6713        -7017.238       -7017.238
     10542    49.6714        -7017.234       -7017.234
     10544    49.6715        -7017.186       -7017.186
     10546    49.6716        -7017.053       -7017.053
     10548    49.6716        -7017.109       -7017.109
     10550    49.6716        -7017.016       -7017.016
     10552    49.6719        -7016.869       -7016.869
     10554    49.6718        -7016.739       -7016.739
     10556    49.6719        -7016.679       -7016.679
     10558    49.6717        -7016.664       -7016.664
     10560    49.6718        -7016.626       -7016.626
     10562    49.6718        -7016.607       -7016.607
     10564    49.6717        -7016.581       -7016.581
     10566    49.6716        -7016.478       -7016.478
     10568    49.6717        -7016.339       -7016.339
     10570    49.6717        -7016.243       -7016.243
     10572    49.6716        -7016.079       -7016.079
     10574    49.6715        -7015.958       -7015.958
     10576    49.6716        -7015.852       -7015.852
     10578    49.6716        -7015.791       -7015.791
     10580    49.6715        -7015.665       -7015.665
     10582    49.6715        -7015.556       -7015.556
     10584    49.6717        -7015.572       -7015.572
     10586    49.6718        -7015.572       -7015.572
     10588    49.6717        -7015.548       -7015.548
     10590    49.6717        -7015.501       -7015.501
     10592    49.6715        -7015.411       -7015.411
     10594    49.6714        -7015.336       -7015.336
     10596    49.6713        -7015.268       -7015.268
     10598    49.6713        -7015.267       -7015.267
     10600    49.6714        -7015.369       -7015.369
     10602    49.6712        -7015.497       -7015.497
     10604    49.6710        -7015.491       -7015.491
     10606    49.6711        -7015.537       -7015.537
     10608    49.6712        -7015.515       -7015.515
     10610    49.6712        -7015.476       -7015.476
     10612    49.6712        -7015.494       -7015.494
     10614    49.6711        -7015.489       -7015.489
     10616    49.6712        -7015.520       -7015.520
     10618    49.6712        -7015.532       -7015.532
     10620    49.6712        -7015.568       -7015.568
     10622    49.6712        -7015.595       -7015.595
     10624    49.6710        -7015.622       -7015.622
     10626    49.6710        -7015.544       -7015.544
     10628    49.6710        -7015.477       -7015.477
     10630    49.6710        -7015.391       -7015.391
     10632    49.6708        -7015.381       -7015.381
     10634    49.6707        -7015.352       -7015.352
     10636    49.6708        -7015.225       -7015.225
     10638    49.6709        -7015.080       -7015.080
     10640    49.6710        -7014.928       -7014.928
     10642    49.6710        -7014.821       -7014.821
     10644    49.6711        -7014.607       -7014.607
     10646    49.6711        -7014.414       -7014.414
     10648    49.6712        -7014.305       -7014.305
     10650    49.6713        -7014.192       -7014.192
     10652    49.6710        -7014.099       -7014.099
     10654    49.6710        -7014.068       -7014.068
     10656    49.6712        -7013.986       -7013.986
     10658    49.6712        -7013.976       -7013.976
     10660    49.6713        -7013.954       -7013.954
     10662    49.6715        -7013.879       -7013.879
     10664    49.6714        -7013.857       -7013.857
     10666    49.6716        -7013.817       -7013.817
     10668    49.6717        -7013.723       -7013.723
     10670    49.6716        -7013.717       -7013.717
     10672    49.6717        -7013.630       -7013.630
     10674    49.6717        -7013.512       -7013.512
     10676    49.6717        -7013.490       -7013.490
     10678    49.6716        -7013.370       -7013.370
     10680    49.6718        -7013.298       -7013.298
     10682    49.6718        -7013.255       -7013.255
     10684    49.6719        -7013.169       -7013.169
     10686    49.6722        -7013.059       -7013.059
     10688    49.6723        -7012.952       -7012.952
     10690    49.6724        -7012.841       -7012.841
     10692    49.6724        -7012.716       -7012.716
     10694    49.6725        -7012.642       -7012.642
     10696    49.6726        -7012.611       -7012.611
     10698    49.6725        -7012.540       -7012.540
     10700    49.6726        -7012.538       -7012.538
     10702    49.6727        -7012.526       -7012.526
     10704    49.6726        -7012.501       -7012.501
     10706    49.6726        -7012.444       -7012.444
     10708    49.6727        -7012.327       -7012.327
     10710    49.6727        -7012.234       -7012.234
     10712    49.6726        -7012.142       -7012.142
     10714    49.6726        -7012.136       -7012.136
     10716    49.6727        -7012.020       -7012.020
     10718    49.6727        -7011.998       -7011.998
     10720    49.6729        -7011.998       -7011.998
     10722    49.6730        -7012.016       -7012.016
     10724    49.6729        -7012.080       -7012.080
     10726    49.6731        -7012.091       -7012.091
     10728    49.6731        -7012.084       -7012.084
     10730    49.6732        -7012.048       -7012.048
     10732    49.6731        -7012.045       -7012.045
     10734    49.6731        -7012.013       -7012.013
     10736    49.6731        -7012.002       -7012.002
     10738    49.6729        -7011.968       -7011.968
     10740    49.6729        -7011.931       -7011.931
     10742    49.6729        -7011.908       -7011.908
     10744    49.6729        -7011.859       -7011.859
     10746    49.6728        -7011.807       -7011.807
     10748    49.6729        -7011.754       -7011.754
     10750    49.6731        -7011.666       -7011.666
     10752    49.6730        -7011.596       -7011.596
     10754    49.6730        -7011.532       -7011.532
     10756    49.6731        -7011.493       -7011.493
     10758    49.6732        -7011.483       -7011.483
     10760    49.6732        -7011.519       -7011.519
     10762    49.6732        -7011.532       -7011.532
