No. moves  % accept.       <E_tot>         <E_sr>
     10302    49.6916        -7005.363       -7005.363
     10304    49.6918        -7005.356       -7005.356
     10306    49.6917        -7005.474       -7005.474
     10308    49.6916        -7005.448       -7005.448
     10310    49.6916        -7005.540       -7005.540
     10312    49.6917        -7005.629       -7005.629
     10314    49.6915        -7005.768       -7005.768
     10316    49.6915        -7005.979       -7005.979
     10318    49.6914        -7005.952       -7005.952
     10320    49.6913        -7005.890       -7005.890
     10322    49.6913        -7005.921       -7005.921
     10324    49.6915        -7005.974       -7005.974
     10326    49.6914        -7005.945       -7005.945
     10328    49.6915        -7005.784       -7005.784
     10330    49.6912        -7005.864       -7005.864
     10332    49.6911        -7006.011       -7006.011
     10334    49.6912        -7005.990       -7005.990
     10336    49.6913        -7006.048       -7006.048
     10338    49.6911        -7006.025       -7006.025
     10340    49.6909        -7006.109       -7006.109
     10342    49.6908        -7006.244       -7006.244
     10344    49.6909        -7006.373       -7006.373
     10346    49.6907        -7006.653       -7006.653
     10348    49.6908        -7007.191       -7007.191
     10350    49.6908        -7007.720       -7007.720
     10352    49.6906        -7008.175       -7008.175
     10354    49.6906        -7008.418       -7008.418
     10356    49.6906        -7008.508       -7008.508
     10358    49.6905        -7008.627       -7008.627
     10360    49.6904        -7008.770       -7008.770
     10362    49.6904        -7008.905       -7008.905
     10364    49.6904        -7008.930       -7008.930
     10366    49.6903        -7009.065       -7009.065
     10368    49.6903        -7009.243       -7009.243
     10370    49.6905        -7009.359       -7009.359
     10372    49.6905        -7009.505       -7009.505
     10374    49.6905        -7009.747       -7009.747
     10376    49.6904        -7009.902       -7009.902
     10378    49.6904        -7010.137       -7010.137
     10380    49.6906        -7010.374       -7010.374
     10382    49.6906        -7010.656       -7010.656
     10384    49.6906        -7010.778       -7010.778
     10386    49.6906        -7010.850       -7010.850
     10388    49.6905        -7010.731       -7010.731
     10390    49.6905        -7010.694       -7010.694
     10392    49.6904        -7010.709       -7010.709
     10394    49.6906        -7010.617       -7010.617
     10396    49.6907        -7010.581       -7010.581
     10398    49.6907        -7010.490       -7010.490
     10400    49.6909        -7010.448       -7010.448
     10402    49.6908        -7010.462       -7010.462
     10404    49.6910        -7010.644       -7010.644
     10406    49.6913        -7010.912       -7010.912
     10408    49.6913        -7011.096       -7011.096
     10410    49.6914        -7011.223       -7011.223
     10412    49.6914        -7011.274       -7011.274
     10414    49.6916        -7011.332       -7011.332
     10416    49.6916        -7011.285       -7011.285
     10418    49.6914        -7011.157       -7011.157
     10420    49.6915        -7011.112       -7011.112
     10422    49.6916        -7011.041       -7011.041
     10424    49.6917        -7010.923       -7010.923
     10426    49.6917        -7010.919       -7010.919
     10428    49.6916        -7010.872       -7010.872
     10430    49.6916        -7010.795       -7010.795
     10432    49.6916        -7010.795       -7010.795
     10434    49.6915        -7010.765       -7010.765
     10436    49.6914        -7010.758       -7010.758
     10438    49.6913        -7010.749       -7010.749
     10440    49.6912        -7010.714       -7010.714
     10442    49.6913        -7010.823       -7010.823
     10444    49.6914        -7010.953       -7010.953
     10446    49.6914        -7011.164       -7011.164
     10448    49.6916        -7011.223       -7011.223
     10450    49.6917        -7011.268       -7011.268
     10452    49.6917        -7011.229       -7011.229
     10454    49.6919        -7011.240       -7011.240
     10456    49.6920        -7011.303       -7011.303
     10458    49.6920        -7011.392       -7011.392
     10460    49.6921        -7011.574       -7011.574
     10462    49.6924        -7011.585       -7011.585
     10464    49.6925        -7011.618       -7011.618
     10466    49.6927        -7011.607       -7011.607
     10468    49.6926        -7011.728       -7011.728
