No. moves  % accept.        E_tot           E_sr
     318    45.6395        -7119.369       -7119.369
     320    45.6635        -7128.288       -7128.288
     322    45.6839        -7091.717       -7091.717
     324    45.7053        -7118.315       -7118.315
     326    45.7230        -7125.186       -7125.186
     328    45.7423        -7102.567       -7102.567
     330    45.7672        -7099.462       -7099.462
     332    45.7845        -7096.897       -7096.897
     334    45.8072        -7093.767       -7093.767
     336    45.8297        -7070.435       -7070.435
     338    45.8499        -7091.021       -7091.021
     340    45.8751        -7090.762       -7090.762
     342    45.8964        -7114.321       -7114.321
     344    45.9203        -7090.061       -7090.061
     346    45.9437        -7100.096       -7100.096
     348    45.9667        -7093.424       -7093.424
     350    45.9861        -7075.500       -7075.500
     352    46.0007        -7077.686       -7077.686
     354    46.0161        -7070.659       -7070.659
     356    46.0330        -7074.678       -7074.678
     358    46.0570        -7086.696       -7086.696
     360    46.0769        -7078.553       -7078.553
     362    46.0996        -7056.257       -7056.257
     364    46.1250        -7060.082       -7060.082
     366    46.1486        -7074.860       -7074.860
     368    46.1685        -7089.897       -7089.897
     370    46.1895        -7082.332       -7082.332
     372    46.2078        -7055.645       -7055.645
     374    46.2276        -7053.368       -7053.368
     376    46.2503        -7077.771       -7077.771
     378    46.2685        -7053.133       -7053.133
     380    46.2818        -7046.921       -7046.921
     382    46.2957        -7007.356       -7007.356
     384    46.3139        -7007.760       -7007.760
     386    46.3349        -7026.306       -7026.306
     388    46.3548        -7050.266       -7050.266
     390    46.3710        -7037.755       -7037.755
     392    46.3895        -7019.970       -7019.970
     394    46.4095        -7022.957       -7022.957
     396    46.4243        -7022.287       -7022.287
     398    46.4423        -7015.122       -7015.122
     400    46.4610        -7028.585       -7028.585
     402    46.4798        -7012.113       -7012.113
     404    46.4972        -7033.294       -7033.294
     406    46.5098        -7065.335       -7065.335
     408    46.5235        -7040.049       -7040.049
     410    46.5443        -7050.352       -7050.352
     412    46.5586        -7037.144       -7037.144
     414    46.5720        -6995.517       -6995.517
     416    46.5883        -7008.786       -7008.786
     418    46.6057        -7015.567       -7015.567
     420    46.6221        -7012.085       -7012.085
     422    46.6351        -7007.511       -7007.511
     424    46.6538        -6994.607       -6994.607
     426    46.6686        -7018.674       -7018.674
     428    46.6822        -7029.832       -7029.832
     430    46.6989        -7070.234       -7070.234
     432    46.7114        -7048.617       -7048.617
     434    46.7251        -6999.358       -6999.358
     436    46.7397        -7008.936       -7008.936
     438    46.7548        -7023.223       -7023.223
     440    46.7694        -7010.411       -7010.411
     442    46.7791        -7022.361       -7022.361
     444    46.7936        -7009.760       -7009.760
     446    46.8096        -6997.432       -6997.432
     448    46.8234        -6999.321       -6999.321
     450    46.8403        -6992.130       -6992.130
     452    46.8578        -7012.673       -7012.673
     454    46.8734        -6981.627       -6981.627
     456    46.8873        -6993.785       -6993.785
     458    46.8971        -6989.969       -6989.969
     460    46.9160        -6963.821       -6963.821
     462    46.9272        -6963.587       -6963.587
     464    46.9404        -6978.872       -6978.872
     466    46.9562        -6983.713       -6983.713
     468    46.9680        -7004.294       -7004.294
     470    46.9790        -7013.611       -7013.611
     472    46.9916        -7025.045       -7025.045
     474    47.0031        -7028.136       -7028.136
     476    47.0182        -7010.253       -7010.253
     478    47.0348        -7005.304       -7005.304
     480    47.0513        -6980.811       -6980.811
     482    47.0672        -6991.402       -6991.402
     484    47.0730        -6990.005       -6990.005
     486    47.0853        -7007.994       -7007.994
     488    47.0968        -7028.081       -7028.081
     490    47.1082        -7036.962       -7036.962
     492    47.1216        -7042.778       -7042.778
     494    47.1339        -7050.012       -7050.012
     496    47.1403        -7049.937       -7049.937
     498    47.1530        -7041.923       -7041.923
     500    47.1671        -7035.547       -7035.547
     502    47.1811        -7015.269       -7015.269
     504    47.1920        -7003.316       -7003.316
     506    47.2011        -6976.007       -6976.007
     508    47.2090        -6999.943       -6999.943
     510    47.2199        -7003.541       -7003.541
     512    47.2318        -7012.932       -7012.932
     514    47.2450        -7021.525       -7021.525
     516    47.2523        -7017.518       -7017.518
     518    47.2610        -7030.486       -7030.486
     520    47.2731        -7025.754       -7025.754
     522    47.2805        -7018.074       -7018.074
     524    47.2900        -7013.681       -7013.681
     526    47.2983        -6993.015       -6993.015
     528    47.3054        -7013.783       -7013.783
     530    47.3183        -7000.009       -7000.009
     532    47.3309        -6994.875       -6994.875
     534    47.3410        -6987.212       -6987.212
     536    47.3501        -6997.390       -6997.390
     538    47.3620        -6979.591       -6979.591
     540    47.3710        -7027.144       -7027.144
     542    47.3833        -7029.707       -7029.707
     544    47.3948        -6984.288       -6984.288
     546    47.4020        -7005.269       -7005.269
     548    47.4132        -6988.820       -6988.820
     550    47.4196        -6991.652       -6991.652
     552    47.4319        -6976.828       -6976.828
     554    47.4397        -6980.473       -6980.473
     556    47.4513        -6995.406       -6995.406
     558    47.4614        -6996.276       -6996.276
     560    47.4722        -6999.490       -6999.490
     562    47.4812        -7022.730       -7022.730
     564    47.4863        -7037.749       -7037.749
     566    47.4944        -7029.173       -7029.173
     568    47.5038        -7035.645       -7035.645
     570    47.5115        -7060.281       -7060.281
     572    47.5210        -7039.200       -7039.200
     574    47.5308        -7050.408       -7050.408
     576    47.5411        -7074.973       -7074.973
     578    47.5514        -7066.327       -7066.327
     580    47.5584        -7054.924       -7054.924
     582    47.5687        -7038.014       -7038.014
     584    47.5742        -7041.340       -7041.340
     586    47.5820        -7027.215       -7027.215
     588    47.5907        -7003.129       -7003.129
     590    47.6025        -7014.007       -7014.007
     592    47.6116        -7026.554       -7026.554
     594    47.6223        -7017.008       -7017.008
     596    47.6292        -7002.448       -7002.448
     598    47.6387        -7046.506       -7046.506
     600    47.6489        -7029.416       -7029.416
     602    47.6553        -7043.672       -7043.672
     604    47.6649        -7044.893       -7044.893
     606    47.6712        -7010.804       -7010.804
     608    47.6796        -7045.456       -7045.456
     610    47.6886        -7047.048       -7047.048
     612    47.6988        -7006.491       -7006.491
