No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
----------------------------------------------------------------------------------------------------
      2    64.6159        0.0000         -444.234      -444.234     85843.63  44.11328  44.11328  44.11328
      4    64.3121        25.0000         -1208.099      -1208.099     86191.18  44.17273  44.17273  44.17273
      6    63.6321        33.3333         -2071.858      -2071.858     87678.79  44.42542  44.42542  44.42542
      8    63.1592        25.0000         -2806.054      -2806.054     87678.79  44.42542  44.42542  44.42542
     10    62.4913        30.0000         -3381.748      -3381.748     89417.31  44.71712  44.71712  44.71712
     12    61.8471        41.6667         -3906.324      -3906.324     92423.93  45.21281  45.21281  45.21281
     14    61.3963        50.0000         -4256.785      -4256.785     93807.94  45.43737  45.43737  45.43737
     16    60.7978        50.0000         -4609.780      -4609.780     94164.81  45.49492  45.49492  45.49492
     18    60.2985        44.4444         -4867.962      -4867.962     94164.81  45.49492  45.49492  45.49492
     20    59.7363        45.0000         -5058.291      -5058.291     95347.82  45.68464  45.68464  45.68464
     22    59.2665        50.0000         -5244.341      -5244.341     98285.85  46.14915  46.14915  46.14915
     24    58.9654        45.8333         -5368.796      -5368.796     98285.85  46.14915  46.14915  46.14915
     26    58.5328        50.0000         -5500.864      -5500.864     99897.39  46.40001  46.40001  46.40001
     28    58.2396        50.0000         -5625.222      -5625.222     100739.10  46.52996  46.52996  46.52996
     30    57.9905        46.6667         -5696.831      -5696.831     100739.10  46.52996  46.52996  46.52996
     32    57.7671        50.0000         -5798.269      -5798.269     101478.91  46.64359  46.64359  46.64359
     34    57.5904        50.0000         -5880.320      -5880.320     101577.71  46.65872  46.65872  46.65872
     36    57.3851        50.0000         -5915.470      -5915.470     102358.76  46.77800  46.77800  46.77800
     38    57.2466        52.6316         -5955.727      -5955.727     104658.53  47.12574  47.12574  47.12574
     40    57.1039        50.0000         -5998.546      -5998.546     104658.53  47.12574  47.12574  47.12574
     42    56.9832        47.6190         -6032.711      -6032.711     104658.53  47.12574  47.12574  47.12574
     44    56.9045        47.7273         -6060.741      -6060.741     104961.78  47.17121  47.17121  47.17121
     46    56.7812        47.8261         -6102.929      -6102.929     106019.81  47.32918  47.32918  47.32918
     48    56.6641        47.9167         -6126.897      -6126.897     106976.56  47.47113  47.47113  47.47113
     50    56.5799        48.0000         -6164.196      -6164.196     107173.70  47.50027  47.50027  47.50027
     52    56.5129        46.1538         -6204.526      -6204.526     107173.70  47.50027  47.50027  47.50027
     54    56.4180        48.1481         -6187.162      -6187.162     110778.83  48.02701  48.02701  48.02701
     56    56.3655        48.2143         -6178.000      -6178.000     112048.86  48.20985  48.20985  48.20985
     58    56.3233        46.5517         -6216.484      -6216.484     112048.86  48.20985  48.20985  48.20985
     60    56.2876        46.6667         -6235.882      -6235.882     112334.69  48.25081  48.25081  48.25081
     62    56.2584        48.3871         -6221.094      -6221.094     114494.44  48.55808  48.55808  48.55808
