No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10140    85.2579    55.2564    -362.063       -362.063      450072293.69      766.33626      766.33626      766.33626
     10142    85.2601    55.2652    -362.093       -362.093      450219249.64      766.41923      766.41923      766.41923
     10144    85.2622    55.2741    -362.116       -362.116      450363362.54      766.50059      766.50059      766.50059
     10146    85.2644    55.2632    -362.207       -362.207      450503527.15      766.57972      766.57972      766.57972
     10148    85.2667    55.2523    -362.257       -362.257      450639903.53      766.65671      766.65671      766.65671
     10150    85.2689    55.2512    -362.295       -362.295      450769082.11      766.72966      766.72966      766.72966
     10152    85.2711    55.2502    -362.298       -362.298      450890966.70      766.79851      766.79851      766.79851
     10154    85.2733    55.2590    -362.343       -362.343      451013133.22      766.86750      766.86750      766.86750
     10156    85.2755    55.2481    -362.302       -362.302      451132167.28      766.93473      766.93473      766.93473
     10158    85.2778    55.2471    -362.292       -362.292      451254607.49      767.00383      767.00383      767.00383
     10160    85.2800    55.2559    -362.292       -362.292      451376952.13      767.07287      767.07287      767.07287
     10162    85.2822    55.2647    -362.221       -362.221      451504180.28      767.14462      767.14462      767.14462
     10164    85.2844    55.2735    -362.060       -362.060      451633289.37      767.21739      767.21739      767.21739
     10166    85.2867    55.2626    -361.961       -361.961      451759287.40      767.28841      767.28841      767.28841
     10168    85.2888    55.2616    -361.951       -361.951      451888615.92      767.36127      767.36127      767.36127
     10170    85.2911    55.2507    -361.948       -361.948      452014901.43      767.43242      767.43242      767.43242
     10172    85.2932    55.2595    -361.864       -361.864      452144120.23      767.50518      767.50518      767.50518
     10174    85.2955    55.2683    -361.833       -361.833      452274839.24      767.57876      767.57876      767.57876
     10176    85.2977    55.2575    -361.731       -361.731      452402587.36      767.65066      767.65066      767.65066
     10178    85.3000    55.2564    -361.754       -361.754      452530853.08      767.72284      767.72284      767.72284
     10180    85.3022    55.2554    -361.716       -361.716      452660322.15      767.79566      767.79566      767.79566
     10182    85.3044    55.2445    -361.691       -361.691      452786945.74      767.86689      767.86689      767.86689
     10184    85.3066    55.2435    -361.721       -361.721      452913613.58      767.93812      767.93812      767.93812
     10186    85.3088    55.2425    -361.684       -361.684      453042022.98      768.01030      768.01030      768.01030
     10188    85.3110    55.2415    -361.628       -361.628      453171522.84      768.08307      768.08307      768.08307
     10190    85.3132    55.2502    -361.613       -361.613      453298680.32      768.15452      768.15452      768.15452
     10192    85.3154    55.2590    -361.590       -361.590      453429269.88      768.22785      768.22785      768.22785
     10194    85.3176    55.2482    -361.481       -361.481      453557166.88      768.29968      768.29968      768.29968
     10196    85.3198    55.2472    -361.457       -361.457      453685194.93      768.37155      768.37155      768.37155
     10198    85.3220    55.2559    -361.435       -361.435      453812685.32      768.44312      768.44312      768.44312
     10200    85.3242    55.2549    -361.340       -361.340      453937105.35      768.51296      768.51296      768.51296
     10202    85.3263    55.2539    -361.260       -361.260      454061992.85      768.58304      768.58304      768.58304
     10204    85.3286    55.2626    -361.218       -361.218      454191408.62      768.65561      768.65561      768.65561
     10206    85.3308    55.2714    -361.196       -361.196      454321709.83      768.72866      768.72866      768.72866
     10208    85.3331    55.2802    -361.142       -361.142      454452999.24      768.80223      768.80223      768.80223
     10210    85.3353    55.2889    -361.051       -361.051      454585347.54      768.87637      768.87637      768.87637
     10212    85.3375    55.2781    -360.976       -360.976      454715198.70      768.94911      768.94911      768.94911
     10214    85.3397    55.2771    -360.875       -360.875      454843225.24      769.02082      769.02082      769.02082
     10216    85.3418    55.2760    -360.795       -360.795      454969513.06      769.09156      769.09156      769.09156
     10218    85.3440    55.2848    -360.675       -360.675      455101132.37      769.16522      769.16522      769.16522
     10220    85.3463    55.2935    -360.609       -360.609      455230836.00      769.23781      769.23781      769.23781
     10222    85.3485    55.2925    -360.547       -360.547      455359343.55      769.30971      769.30971      769.30971
     10224    85.3507    55.2817    -360.498       -360.498      455485556.33      769.38034      769.38034      769.38034
     10226    85.3529    55.2807    -360.531       -360.531      455611126.79      769.45059      769.45059      769.45059
     10228    85.3551    55.2796    -360.521       -360.521      455738408.35      769.52177      769.52177      769.52177
     10230    85.3573    55.2688    -360.523       -360.523      455863476.32      769.59171      769.59171      769.59171
     10232    85.3595    55.2776    -360.442       -360.442      455988469.23      769.66159      769.66159      769.66159
     10234    85.3616    55.2863    -360.419       -360.419      456116849.98      769.73332      769.73332      769.73332
     10236    85.3638    55.2755    -360.431       -360.431      456243054.79      769.80383      769.80383      769.80383
     10238    85.3660    55.2647    -360.406       -360.406      456367138.51      769.87316      769.87316      769.87316
     10240    85.3682    55.2539    -360.395       -360.395      456489154.17      769.94134      769.94134      769.94134
     10242    85.3704    55.2431    -360.370       -360.370      456609153.04      770.00838      770.00838      770.00838
     10244    85.3726    55.2519    -360.362       -360.362      456728731.68      770.07518      770.07518      770.07518
     10246    85.3749    55.2508    -360.407       -360.407      456846222.04      770.14082      770.14082      770.14082
     10248    85.3771    55.2498    -360.317       -360.317      456962940.21      770.20601      770.20601      770.20601
     10250    85.3793    55.2488    -360.265       -360.265      457078372.22      770.27048      770.27048      770.27048
     10252    85.3816    55.2575    -360.136       -360.136      457196747.60      770.33655      770.33655      770.33655
     10254    85.3837    55.2662    -359.997       -359.997      457313350.42      770.40164      770.40164      770.40164
     10256    85.3859    55.2652    -359.888       -359.888      457427700.08      770.46547      770.46547      770.46547
     10258    85.3881    55.2739    -359.779       -359.779      457544010.88      770.53036      770.53036      770.53036
     10260    85.3902    55.2632    -359.710       -359.710      457658532.29      770.59425      770.59425      770.59425
     10262    85.3924    55.2719    -359.677       -359.677      457777189.88      770.66041      770.66041      770.66041
     10264    85.3945    55.2611    -359.661       -359.661      457894049.63      770.72555      770.72555      770.72555
     10266    85.3967    55.2601    -359.600       -359.600      458009655.91      770.79000      770.79000      770.79000
     10268    85.3989    55.2591    -359.534       -359.534      458126153.02      770.85492      770.85492      770.85492
     10270    85.4011    55.2580    -359.494       -359.494      458244274.16      770.92071      770.92071      770.92071
     10272    85.4032    55.2667    -359.484       -359.484      458363779.24      770.98725      770.98725      770.98725
     10274    85.4054    55.2560    -359.511       -359.511      458481539.73      771.05282      771.05282      771.05282
     10276    85.4075    55.2452    -359.543       -359.543      458597593.55      771.11743      771.11743      771.11743
     10278    85.4096    55.2345    -359.550       -359.550      458711977.52      771.18112      771.18112      771.18112
     10280    85.4118    55.2432    -359.572       -359.572      458823150.54      771.24303      771.24303      771.24303
     10282    85.4140    55.2519    -359.534       -359.534      458934494.58      771.30502      771.30502      771.30502
     10284    85.4162    55.2606    -359.470       -359.470      459045456.90      771.36679      771.36679      771.36679
     10286    85.4184    55.2596    -359.466       -359.466      459157785.45      771.42930      771.42930      771.42930
     10288    85.4205    55.2586    -359.488       -359.488      459268812.05      771.49107      771.49107      771.49107
     10290    85.4227    55.2672    -359.501       -359.501      459379513.56      771.55266      771.55266      771.55266
     10292    85.4248    55.2759    -359.505       -359.505      459491145.19      771.61474      771.61474      771.61474
     10294    85.4269    55.2749    -359.485       -359.485      459601589.66      771.67615      771.67615      771.67615
     10296    85.4291    55.2836    -359.520       -359.520      459712201.58      771.73765      771.73765      771.73765
     10298    85.4312    55.2923    -359.553       -359.553      459819969.93      771.79757      771.79757      771.79757
     10300    85.4334    55.2913    -359.576       -359.576      459926888.82      771.85702      771.85702      771.85702
     10302    85.4355    55.2902    -359.564       -359.564      460033081.44      771.91606      771.91606      771.91606
     10304    85.4377    55.2892    -359.584       -359.584      460137717.80      771.97423      771.97423      771.97423
     10306    85.4397    55.2882    -359.594       -359.594      460244115.62      772.03336      772.03336      772.03336
     10308    85.4419    55.2969    -359.552       -359.552      460353540.47      772.09412      772.09412      772.09412
     10310    85.4441    55.2958    -359.523       -359.523      460463246.73      772.15503      772.15503      772.15503
     10312    85.4462    55.2851    -359.515       -359.515      460571546.50      772.21515      772.21515      772.21515
     10314    85.4484    55.2841    -359.524       -359.524      460677097.65      772.27376      772.27376      772.27376
     10316    85.4505    55.2734    -359.581       -359.581      460781312.71      772.33163      772.33163      772.33163
     10318    85.4527    55.2820    -359.587       -359.587      460889038.21      772.39140      772.39140      772.39140
     10320    85.4549    55.2907    -359.609       -359.609      460998333.72      772.45202      772.45202      772.45202
     10322    85.4570    55.2897    -359.679       -359.679      461105600.10      772.51151      772.51151      772.51151
     10324    85.4592    55.2790    -359.692       -359.692      461211542.20      772.57027      772.57027      772.57027
     10326    85.4613    55.2779    -359.748       -359.748      461317712.18      772.62915      772.62915      772.62915
     10328    85.4633    55.2769    -359.740       -359.740      461424623.80      772.68841      772.68841      772.68841
     10330    85.4655    55.2759    -359.730       -359.730      461529892.29      772.74677      772.74677      772.74677
     10332    85.4677    55.2749    -359.700       -359.700      461635579.89      772.80534      772.80534      772.80534
