No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10140    85.3076    55.8580    -326.867       -326.867      449462513.51      765.99398      765.99398      765.99398
     10142    85.3099    55.8568    -326.690       -326.690      449578305.52      766.05951      766.05951      766.05951
     10144    85.3122    55.8557    -326.553       -326.553      449686297.62      766.12064      766.12064      766.12064
     10146    85.3145    55.8545    -326.287       -326.287      449792030.74      766.18050      766.18050      766.18050
     10148    85.3168    55.8534    -326.056       -326.056      449893565.37      766.23798      766.23798      766.23798
     10150    85.3191    55.8522    -325.832       -325.832      449992804.67      766.29416      766.29416      766.29416
     10152    85.3214    55.8609    -325.587       -325.587      450099580.60      766.35455      766.35455      766.35455
     10154    85.3237    55.8499    -325.364       -325.364      450203583.13      766.41338      766.41338      766.41338
     10156    85.3260    55.8488    -325.118       -325.118      450306973.72      766.47185      766.47185      766.47185
     10158    85.3283    55.8575    -324.915       -324.915      450416734.52      766.53388      766.53388      766.53388
     10160    85.3306    55.8661    -324.763       -324.763      450526063.18      766.59566      766.59566      766.59566
     10162    85.3329    55.8551    -324.550       -324.550      450632692.37      766.65591      766.65591      766.65591
     10164    85.3352    55.8638    -324.468       -324.468      450743041.07      766.71822      766.71822      766.71822
     10166    85.3375    55.8725    -324.447       -324.447      450859871.66      766.78415      766.78415      766.78415
     10168    85.3398    55.8615    -324.461       -324.461      450973920.57      766.84851      766.84851      766.84851
     10170    85.3421    55.8604    -324.372       -324.372      451084521.02      766.91093      766.91093      766.91093
     10172    85.3444    55.8691    -324.291       -324.291      451194816.22      766.97316      766.97316      766.97316
     10174    85.3467    55.8777    -324.295       -324.295      451307927.50      767.03695      767.03695      767.03695
     10176    85.3490    55.8766    -324.279       -324.279      451422562.34      767.10158      767.10158      767.10158
     10178    85.3513    55.8852    -324.267       -324.267      451544195.15      767.17010      767.17010      767.17010
     10180    85.3536    55.8939    -324.219       -324.219      451667373.02      767.23946      767.23946      767.23946
     10182    85.3559    55.8928    -324.186       -324.186      451792469.97      767.30988      767.30988      767.30988
     10184    85.3582    55.8916    -324.158       -324.158      451916771.76      767.37983      767.37983      767.37983
     10186    85.3605    55.9003    -324.021       -324.021      452044126.12      767.45147      767.45147      767.45147
     10188    85.3628    55.8893    -323.899       -323.899      452168770.81      767.52159      767.52159      767.52159
     10190    85.3650    55.8783    -323.797       -323.797      452290791.40      767.59023      767.59023      767.59023
     10192    85.3673    55.8772    -323.651       -323.651      452415876.66      767.66055      767.66055      767.66055
     10194    85.3695    55.8662    -323.492       -323.492      452538382.83      767.72943      767.72943      767.72943
     10196    85.3718    55.8749    -323.325       -323.325      452665339.67      767.80076      767.80076      767.80076
     10198    85.3741    55.8639    -323.149       -323.149      452789731.73      767.87065      767.87065      767.87065
     10200    85.3763    55.8529    -322.969       -322.969      452911635.94      767.93915      767.93915      767.93915
     10202    85.3786    55.8518    -322.726       -322.726      453031093.61      768.00627      768.00627      768.00627
     10204    85.3809    55.8506    -322.512       -322.512      453150390.67      768.07328      768.07328      768.07328
     10206    85.3832    55.8495    -322.320       -322.320      453267022.15      768.13880      768.13880      768.13880
     10208    85.3855    55.8484    -322.194       -322.194      453386141.56      768.20569      768.20569      768.20569
     10210    85.3878    55.8570    -322.066       -322.066      453505589.16      768.27274      768.27274      768.27274
     10212    85.3900    55.8656    -321.948       -321.948      453629078.78      768.34202      768.34202      768.34202
     10214    85.3923    55.8645    -321.823       -321.823      453755109.61      768.41269      768.41269      768.41269
     10216    85.3946    55.8731    -321.710       -321.710      453881050.16      768.48329      768.48329      768.48329
     10218    85.3969    55.8818    -321.532       -321.532      454004765.43      768.55264      768.55264      768.55264
