No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     140    56.0564        45.7143         -6061.090      -6061.090     149514.05  53.07549  53.07549  53.07549
     142    56.0541        46.4789         -6006.727      -6006.727     153610.43  53.55585  53.55585  53.55585
     144    56.0655        47.2222         -6006.500      -6006.500     154829.95  53.69720  53.69720  53.69720
     146    56.0855        47.2603         -5994.754      -5994.754     155627.76  53.78927  53.78927  53.78927
     148    56.1120        46.6216         -5962.854      -5962.854     155627.76  53.78927  53.78927  53.78927
     150    56.1413        47.3333         -5936.256      -5936.256     158073.24  54.06955  54.06955  54.06955
     152    56.1648        46.7105         -5940.194      -5940.194     158073.24  54.06955  54.06955  54.06955
     154    56.1880        47.4026         -5921.681      -5921.681     159781.52  54.26363  54.26363  54.26363
     156    56.2058        48.0769         -5896.707      -5896.707     161936.55  54.50650  54.50650  54.50650
     158    56.2415        48.1013         -5868.649      -5868.649     163390.78  54.66917  54.66917  54.66917
     160    56.2653        47.5000         -5902.560      -5902.560     163390.78  54.66917  54.66917  54.66917
     162    56.2847        48.1481         -5873.437      -5873.437     165617.40  54.91639  54.91639  54.91639
     164    56.3086        48.7805         -5846.185      -5846.185     168854.57  55.27188  55.27188  55.27188
     166    56.3249        48.7952         -5828.903      -5828.903     170317.11  55.43101  55.43101  55.43101
     168    56.3465        49.4048         -5806.274      -5806.274     171379.24  55.54599  55.54599  55.54599
     170    56.3732        48.8235         -5813.080      -5813.080     171379.24  55.54599  55.54599  55.54599
     172    56.3964        49.4186         -5812.910      -5812.910     176048.23  56.04591  56.04591  56.04591
     174    56.4224        48.8506         -5810.864      -5810.864     176048.23  56.04591  56.04591  56.04591
     176    56.4420        48.8636         -5808.680      -5808.680     178350.21  56.28913  56.28913  56.28913
     178    56.4749        49.4382         -5815.230      -5815.230     180373.20  56.50116  56.50116  56.50116
     180    56.4943        49.4444         -5801.839      -5801.839     180123.74  56.47510  56.47510  56.47510
     182    56.5118        48.9011         -5817.391      -5817.391     180123.74  56.47510  56.47510  56.47510
     184    56.5359        49.4565         -5778.896      -5778.896     181626.26  56.63169  56.63169  56.63169
     186    56.5495        48.9247         -5806.093      -5806.093     181626.26  56.63169  56.63169  56.63169
     188    56.5753        49.4681         -5755.321      -5755.321     186622.06  57.14624  57.14624  57.14624
     190    56.5965        49.4737         -5716.733      -5716.733     189004.15  57.38836  57.38836  57.38836
