No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     212    54.2941        39.6226         -5799.507      -5799.507     189299.25  52.24651  51.85602  69.87027
     214    54.3336        39.7196         -5783.318      -5783.318     189666.35  52.28026  51.88952  69.91540
     216    54.3632        39.8148         -5751.485      -5751.485     190655.40  52.37098  51.97956  70.03672
     218    54.3979        39.4495         -5742.261      -5742.261     190655.40  52.37098  51.97956  70.03672
     220    54.4294        39.0909         -5746.799      -5746.799     190655.40  52.37098  51.97956  70.03672
     222    54.4632        39.1892         -5742.445      -5742.445     190931.18  52.39622  52.00461  70.07047
     224    54.4977        39.2857         -5743.121      -5743.121     191068.37  52.40876  52.01707  70.08725
     226    54.5332        39.8230         -5728.585      -5728.585     195097.17  52.77456  52.38013  70.57644
     228    54.5683        39.4737         -5736.259      -5736.259     195097.17  52.77456  52.38013  70.57644
     230    54.5956        40.0000         -5741.267      -5741.267     198636.22  53.09176  52.69496  71.00064
     232    54.6191        39.6552         -5726.922      -5726.922     198636.22  53.09176  52.69496  71.00064
     234    54.6488        39.7436         -5713.402      -5713.402     199289.27  53.14988  52.75264  71.07836
     236    54.6779        40.2542         -5655.898      -5655.898     201863.35  53.37773  52.97880  71.38308
     238    54.7113        39.9160         -5660.367      -5660.367     201863.35  53.37773  52.97880  71.38308
     240    54.7418        40.0000         -5673.893      -5673.893     203775.84  53.54577  53.14558  71.60780
     242    54.7767        39.6694         -5685.889      -5685.889     203775.84  53.54577  53.14558  71.60780
     244    54.8030        40.1639         -5675.817      -5675.817     204936.24  53.64722  53.24627  71.74347
     246    54.8351        40.2439         -5682.332      -5682.332     206047.57  53.74402  53.34234  71.87292
     248    54.8616        40.7258         -5631.733      -5631.733     209913.69  54.07807  53.67390  72.31966
     250    54.8972        41.2000         -5590.581      -5590.581     214062.43  54.43202  54.02520  72.79300
     252    54.9298        40.8730         -5593.267      -5593.267     214062.43  54.43202  54.02520  72.79300
     254    54.9623        40.9449         -5558.228      -5558.228     217192.65  54.69606  54.28727  73.14609
     256    54.9911        41.0156         -5538.239      -5538.239     219593.80  54.89688  54.48659  73.41466
     258    55.0182        41.4729         -5529.484      -5529.484     223825.36  55.24726  54.83435  73.88323
     260    55.0564        41.9231         -5483.752      -5483.752     230380.28  55.78140  55.36450  74.59755
     262    55.0949        42.3664         -5465.017      -5465.017     229400.22  55.70219  55.28588  74.49161
     264    55.1242        42.4242         -5425.378      -5425.378     231374.89  55.86156  55.44406  74.70474
     266    55.1614        42.4812         -5433.029      -5433.029     232884.62  55.98279  55.56439  74.86688
     268    55.1938        42.1642         -5442.449      -5442.449     232884.62  55.98279  55.56439  74.86688
     270    55.2266        42.5926         -5401.673      -5401.673     237685.15  56.36484  55.94358  75.37780
     272    55.2600        42.6471         -5380.840      -5380.840     240630.98  56.59675  56.17375  75.68793
     274    55.2957        43.0657         -5344.941      -5344.941     243240.22  56.80058  56.37606  75.96051
     276    55.3282        43.1159         -5358.172      -5358.172     245319.96  56.96200  56.53628  76.17639
     278    55.3637        43.5252         -5351.324      -5351.324     245443.85  56.97159  56.54579  76.18921
     280    55.3964        43.2143         -5369.482      -5369.482     245443.85  56.97159  56.54579  76.18921
     282    55.4297        42.9078         -5370.503      -5370.503     245443.85  56.97159  56.54579  76.18921
     284    55.4538        42.6056         -5352.252      -5352.252     245443.85  56.97159  56.54579  76.18921
     286    55.4899        43.0070         -5336.799      -5336.799     250041.11  57.32509  56.89665  76.66196
     288    55.5180        43.0556         -5370.310      -5370.310     251380.29  57.42725  56.99805  76.79858
     290    55.5556        43.1034         -5349.644      -5349.644     253754.82  57.60751  57.17696  77.03963
     292    55.5902        43.1507         -5348.240      -5348.240     256517.39  57.81580  57.38370  77.31820
     294    55.6197        42.8571         -5353.163      -5353.163     256517.39  57.81580  57.38370  77.31820
     296    55.6531        42.9054         -5350.236      -5350.236     258739.86  57.98230  57.54895  77.54085
     298    55.6810        42.9530         -5361.154      -5361.154     259122.59  58.01087  57.57731  77.57906
     300    55.7112        42.6667         -5363.486      -5363.486     259122.59  58.01087  57.57731  77.57906
     302    55.7400        43.0464         -5349.450      -5349.450     263061.68  58.30335  57.86760  77.97020
     304    55.7680        43.0921         -5320.735      -5320.735     264886.86  58.43788  58.00112  78.15011
     306    55.7982        43.1373         -5307.667      -5307.667     265712.88  58.49856  58.06135  78.23126
     308    55.8272        43.5065         -5258.185      -5258.185     273059.72  59.03282  58.59162  78.94573
     310    55.8581        43.2258         -5268.211      -5268.211     273059.72  59.03282  58.59162  78.94573
     312    55.8937        43.2692         -5249.806      -5249.806     275465.30  59.20567  58.76317  79.17688
     314    55.9285        43.3121         -5233.349      -5233.349     275665.22  59.21999  58.77738  79.19603
     316    55.9561        43.3544         -5251.644      -5251.644     278087.40  59.39293  58.94903  79.42731
     318    55.9846        43.7107         -5229.676      -5229.676     279533.86  59.49573  59.05106  79.56479
     320    56.0193        44.0625         -5216.191      -5216.191     282441.76  59.70132  59.25512  79.83973
     322    56.0463        44.0994         -5242.056      -5242.056     283254.18  59.75851  59.31188  79.91621
     324    56.0756        44.1358         -5201.894      -5201.894     284478.27  59.84447  59.39720  80.03116
     326    56.0989        44.1718         -5222.425      -5222.425     285779.21  59.93555  59.48760  80.15298
     328    56.1284        44.5122         -5165.655      -5165.655     292024.05  60.36898  59.91779  80.73261
     330    56.1602        44.2424         -5174.181      -5174.181     292024.05  60.36898  59.91779  80.73261
     332    56.1866        44.2771         -5154.269      -5154.269     295153.47  60.58386  60.13106  81.01997
     334    56.2201        44.3114         -5152.628      -5152.628     296082.14  60.64733  60.19406  81.10485
     336    56.2495        44.6429         -5138.862      -5138.862     302828.37  61.10449  60.64781  81.71622
     338    56.2774        44.6746         -5115.974      -5115.974     304601.25  61.22351  60.76593  81.87538
     340    56.3099        44.7059         -5129.404      -5129.404     304077.71  61.18841  60.73110  81.82845
     342    56.3343        44.7368         -5127.552      -5127.552     308019.52  61.45167  60.99239  82.18051
     344    56.3630        45.0581         -5114.573      -5114.573     312009.34  61.71587  61.25461  82.53382
     346    56.3897        45.3757         -5061.616      -5061.616     319566.58  62.21017  61.74523  83.19487
     348    56.4226        45.4023         -5051.832      -5051.832     321189.40  62.31530  61.84957  83.33546
     350    56.4515        45.1429         -5077.369      -5077.369     321189.40  62.31530  61.84957  83.33546
     352    56.4842        45.4545         -5042.992      -5042.992     326380.84  62.64925  62.18102  83.78205
     354    56.5177        45.4802         -4996.050      -4996.050     331054.41  62.94686  62.47641  84.18006
     356    56.5452        45.7865         -5022.296      -5022.296     334302.01  63.15203  62.68004  84.45443
     358    56.5726        46.0894         -5015.164      -5015.164     337287.38  63.33946  62.86607  84.70508
     360    56.5971        45.8333         -5036.960      -5036.960     337287.38  63.33946  62.86607  84.70508
     362    56.6264        45.8564         -5032.911      -5032.911     340940.86  63.56733  63.09224  85.00983
     364    56.6558        46.1538         -5007.062      -5007.062     346876.19  63.93409  63.45625  85.50029
     366    56.6843        45.9016         -5017.829      -5017.829     346876.19  63.93409  63.45625  85.50029
     368    56.7102        45.6522         -5041.896      -5041.896     346876.19  63.93409  63.45625  85.50029
     370    56.7341        45.6757         -5011.197      -5011.197     348139.51  64.01161  63.53320  85.60396
     372    56.7625        45.9677         -4975.005      -4975.005     353135.26  64.31634  63.83565  86.01149
     374    56.7879        46.2567         -4954.076      -4954.076     358804.95  64.65872  64.17547  86.46936
     376    56.8139        46.2766         -4949.623      -4949.623     361862.07  64.84184  64.35722  86.71425
     378    56.8401        46.2963         -4939.229      -4939.229     361757.07  64.83557  64.35100  86.70586
     380    56.8681        46.0526         -4938.918      -4938.918     361757.07  64.83557  64.35100  86.70586
     382    56.8978        45.8115         -4925.485      -4925.485     361757.07  64.83557  64.35100  86.70586
     384    56.9179        46.0938         -4924.000      -4924.000     365557.94  65.06184  64.57558  87.00847
     386    56.9416        46.3731         -4937.722      -4937.722     365786.19  65.07538  64.58902  87.02657
     388    56.9674        46.3918         -4937.279      -4937.279     366757.25  65.13292  64.64612  87.10351
     390    56.9900        46.4103         -4930.844      -4930.844     367752.94  65.19181  64.70457  87.18227
     392    57.0154        46.4286         -4933.368      -4933.368     372358.75  65.46284  64.97358  87.54472
     394    57.0418        46.7005         -4896.122      -4896.122     379761.84  65.89383  65.40135  88.12109
     396    57.0681        46.4646         -4906.571      -4906.571     379761.84  65.89383  65.40135  88.12109
     398    57.0933        46.4824         -4899.853      -4899.853     378666.04  65.83039  65.33838  88.03625
