No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10138    85.5400    54.6163    -322.319       -322.319      564542875.22      752.02237      746.40188      1005.69410
     10140    85.5423    54.6252    -322.154       -322.154      564743282.49      752.11086      746.48971      1005.81243
     10142    85.5445    54.6342    -322.042       -322.042      564944924.04      752.19986      746.57804      1005.93146
     10144    85.5467    54.6431    -321.954       -321.954      565150936.17      752.29074      746.66824      1006.05299
     10146    85.5490    54.6422    -321.904       -321.904      565358332.13      752.38220      746.75901      1006.17530
     10148    85.5512    54.6512    -321.827       -321.827      565564367.19      752.47303      746.84917      1006.29677
     10150    85.5535    54.6404    -321.811       -321.811      565764907.98      752.56144      746.93692      1006.41500
     10152    85.5557    54.6493    -321.758       -321.758      565964602.41      752.64946      747.02428      1006.53271
     10154    85.5580    54.6484    -321.610       -321.610      566160296.67      752.73570      747.10988      1006.64805
     10156    85.5603    54.6475    -321.467       -321.467      566353725.84      752.82094      747.19447      1006.76203
     10158    85.5625    54.6466    -321.304       -321.304      566550203.26      752.90747      747.28036      1006.87776
     10160    85.5647    54.6358    -321.182       -321.182      566741768.73      752.99184      747.36410      1006.99059
     10162    85.5670    54.6349    -320.920       -320.920      566932441.57      753.07580      747.44743      1007.10287
     10164    85.5693    54.6242    -320.758       -320.758      567118463.85      753.15771      747.52873      1007.21241
     10166    85.5716    54.6233    -320.614       -320.614      567304781.46      753.23973      747.61013      1007.32208
     10168    85.5738    54.6322    -320.431       -320.431      567491978.02      753.32210      747.69189      1007.43224
     10170    85.5760    54.6313    -320.307       -320.307      567674903.02      753.40259      747.77178      1007.53989
     10172    85.5783    54.6304    -320.175       -320.175      567861263.12      753.48455      747.85313      1007.64949
     10174    85.5805    54.6196    -319.938       -319.938      568043339.08      753.56463      747.93260      1007.75658
     10176    85.5828    54.6285    -319.745       -319.745      568230831.46      753.64703      748.01439      1007.86678
     10178    85.5850    54.6276    -319.527       -319.527      568415525.89      753.72819      748.09495      1007.97532
     10180    85.5873    54.6267    -319.278       -319.278      568596620.41      753.80777      748.17394      1008.08175
     10182    85.5895    54.6160    -319.034       -319.034      568773734.83      753.88561      748.25119      1008.18583
     10184    85.5918    54.6249    -318.844       -318.844      568945327.60      753.96102      748.32604      1008.28669
     10186    85.5941    54.6240    -318.657       -318.657      569118407.08      754.03706      748.40151      1008.38837
     10188    85.5964    54.6329    -318.484       -318.484      569300309.23      754.11690      748.48075      1008.49514
     10190    85.5986    54.6418    -318.261       -318.261      569480299.88      754.19589      748.55915      1008.60078
     10192    85.6008    54.6409    -318.031       -318.031      569655751.87      754.27289      748.63557      1008.70375
     10194    85.6031    54.6302    -317.741       -317.741      569827586.29      754.34830      748.71042      1008.80461
     10196    85.6054    54.6293    -317.559       -317.559      569999300.00      754.42364      748.78520      1008.90536
     10198    85.6076    54.6186    -317.462       -317.462      570167544.75      754.49746      748.85847      1009.00408
