No. moves  % accept.       <E_tot>         <E_sr>
     10302    49.7324        -7022.189       -7022.189
     10304    49.7325        -7022.104       -7022.104
     10306    49.7325        -7022.192       -7022.192
     10308    49.7325        -7022.258       -7022.258
     10310    49.7325        -7022.267       -7022.267
     10312    49.7325        -7022.174       -7022.174
     10314    49.7326        -7022.041       -7022.041
     10316    49.7326        -7021.986       -7021.986
     10318    49.7325        -7021.999       -7021.999
     10320    49.7325        -7021.985       -7021.985
     10322    49.7325        -7021.849       -7021.849
     10324    49.7325        -7021.742       -7021.742
     10326    49.7325        -7021.753       -7021.753
     10328    49.7326        -7021.826       -7021.826
     10330    49.7328        -7021.854       -7021.854
     10332    49.7328        -7021.929       -7021.929
     10334    49.7328        -7022.179       -7022.179
     10336    49.7328        -7022.587       -7022.587
     10338    49.7326        -7022.796       -7022.796
     10340    49.7327        -7022.933       -7022.933
     10342    49.7328        -7022.993       -7022.993
     10344    49.7327        -7023.041       -7023.041
     10346    49.7328        -7023.056       -7023.056
     10348    49.7328        -7022.937       -7022.937
     10350    49.7327        -7022.677       -7022.677
     10352    49.7326        -7022.512       -7022.512
     10354    49.7326        -7022.301       -7022.301
     10356    49.7326        -7022.010       -7022.010
     10358    49.7327        -7021.760       -7021.760
     10360    49.7327        -7021.429       -7021.429
     10362    49.7328        -7021.189       -7021.189
     10364    49.7328        -7020.969       -7020.969
     10366    49.7329        -7020.732       -7020.732
     10368    49.7330        -7020.316       -7020.316
     10370    49.7330        -7020.096       -7020.096
     10372    49.7329        -7019.825       -7019.825
     10374    49.7328        -7019.539       -7019.539
     10376    49.7329        -7019.246       -7019.246
     10378    49.7328        -7018.967       -7018.967
     10380    49.7329        -7018.647       -7018.647
     10382    49.7329        -7018.331       -7018.331
     10384    49.7329        -7018.059       -7018.059
     10386    49.7329        -7017.961       -7017.961
     10388    49.7329        -7017.832       -7017.832
     10390    49.7330        -7017.657       -7017.657
     10392    49.7331        -7017.416       -7017.416
     10394    49.7334        -7017.171       -7017.171
